// action matrix for training simulation 11_20200820-093404
const unsigned char q_actions[174] = {0, 254, 234, 0, 227, 246, 0, 252, 252, 0, 227, 250, 0, 252, 231, 0, 238, 238, 0, 234, 234, 0, 237, 237, 0, 230, 230, 0, 234, 234, 0, 91, 243, 0, 39, 39, 0, 86, 86, 0, 187, 54, 0, 225, 239, 0, 235, 240, 0, 203, 66, 0, 145, 39, 0, 193, 192, 0, 53, 125, 0, 96, 183, 0, 15, 240, 0, 116, 92, 0, 160, 196, 0, 214, 55, 0, 109, 119, 0, 29, 14, 0, 98, 152, 0, 63, 31, 0, 224, 148, 0, 170, 206, 0, 198, 254, 0, 249, 252, 0, 201, 190, 0, 166, 155, 0, 115, 108, 0, 122, 30, 0, 245, 66, 0, 14, 42, 0, 239, 175, 0, 37, 199, 0, 0, 147, 0, 151, 144, 0, 181, 203, 0, 18, 5, 0, 116, 174, 0, 10, 160, 0, 29, 159, 0, 159, 214, 0, 159, 57, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};


Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
10:32:02.112, 22.69, 27.69, -5.00, 0.09, 2, 234, 0.41, 568.01
10:32:03.142, 22.60, 27.69, -5.09, -0.09, -3, 0, 3.42, 0.00
10:32:04.160, 22.69, 27.69, -5.00, 0.09, 2, 234, 0.15, 1570.04
10:32:05.169, 22.69, 27.69, -5.00, 0.00, 1, 254, 3.34, 76.01
10:32:06.184, 22.69, 27.69, -5.00, 0.00, 1, 254, 3.60, 70.47
10:32:07.221, 22.69, 27.69, -5.00, 0.00, 1, 254, 3.60, 70.47
10:32:08.249, 22.69, 27.69, -5.00, 0.00, 1, 254, 3.60, 70.47
10:32:09.281, 22.78, 27.69, -4.91, 0.09, 5, 246, 3.60, 68.25
10:32:10.301, 22.78, 27.69, -4.91, 0.00, 4, 227, 3.53, 64.32
10:32:11.299, 22.78, 27.69, -4.91, 0.00, 4, 227, 3.12, 72.84
10:32:12.316, 22.86, 27.69, -4.83, 0.09, 8, 252, 2.85, 88.32
10:32:13.344, 22.86, 27.69, -4.83, 0.00, 7, 252, 3.60, 69.91
10:32:14.365, 22.86, 27.69, -4.83, 0.00, 7, 252, 3.57, 70.65
10:32:15.390, 22.86, 27.69, -4.83, 0.00, 7, 252, 3.60, 69.91
10:32:16.443, 22.95, 27.69, -4.74, 0.09, 11, 250, 3.57, 70.09
10:32:17.453, 22.95, 27.69, -4.74, 0.00, 10, 227, 3.60, 62.98
10:32:18.481, 23.04, 27.69, -4.65, 0.09, 11, 250, 3.45, 72.37
10:32:19.484, 23.04, 27.69, -4.65, 0.00, 10, 227, 3.57, 63.64
10:32:20.533, 23.12, 27.69, -4.57, 0.09, 14, 231, 2.89, 79.91
10:32:21.535, 23.12, 27.69, -4.57, 0.00, 13, 252, 3.49, 72.17
10:32:22.582, 23.21, 27.69, -4.48, 0.09, 17, 238, 3.60, 66.03
10:32:23.600, 23.21, 27.69, -4.48, 0.00, 16, 238, 3.27, 72.86
10:32:24.622, 23.30, 27.69, -4.39, 0.09, 20, 234, 3.53, 66.30
10:32:25.644, 23.30, 27.69, -4.39, 0.00, 19, 234, 3.42, 68.49
10:32:26.662, 23.39, 27.69, -4.31, 0.09, 23, 237, 3.19, 74.26
10:32:27.678, 23.47, 27.69, -4.22, 0.09, 26, 230, 3.57, 64.48
10:32:28.711, 23.47, 27.69, -4.22, 0.00, 25, 230, 3.30, 69.61
10:32:29.736, 23.47, 27.69, -4.22, 0.00, 25, 230, 3.00, 76.57
10:32:30.763, 23.56, 27.69, -4.13, 0.09, 29, 234, 3.53, 66.30
10:32:31.786, 23.65, 27.69, -4.04, 0.09, 32, 243, 3.38, 71.91
10:32:32.806, 23.65, 27.69, -4.04, 0.00, 31, 91, 3.42, 26.63
10:32:33.830, 23.73, 27.69, -3.96, 0.09, 32, 243, 2.06, 117.70
10:32:34.853, 23.73, 27.69, -3.96, 0.00, 31, 91, 3.60, 25.25
10:32:35.870, 23.82, 27.69, -3.87, 0.09, 35, 39, 1.13, 34.65
10:32:36.888, 23.82, 27.69, -3.87, 0.00, 34, 39, 0.41, 94.67
10:32:37.910, 23.91, 27.69, -3.78, 0.09, 38, 86, 0.67, 127.43
10:32:38.940, 23.91, 27.69, -3.78, 0.00, 37, 86, 1.99, 43.23
10:32:39.944, 24.00, 27.69, -3.69, 0.09, 41, 54, 1.58, 34.26
10:32:40.970, 24.00, 27.69, -3.69, 0.00, 40, 187, 0.79, 237.44
